"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"22.07.2025","48,35","48,09","48,41","47,88","20,57M","0,54%"
"21.07.2025","48,09","47,70","48,14","47,70","17,71M","1,03%"
"18.07.2025","47,60","47,25","47,74","47,25","15,52M","0,78%"
"17.07.2025","47,23","47,31","47,31","47,06","13,78M","-0,17%"
"16.07.2025","47,31","47,06","47,55","47,05","24,10M","0,57%"
"14.07.2025","47,04","47,00","47,35","46,96","18,54M","0,49%"
"11.07.2025","46,81","46,30","46,88","46,26","18,43M","1,32%"
"10.07.2025","46,20","46,25","46,29","46,20","8,45M","0,15%"
"09.07.2025","46,13","46,16","46,19","45,94","16,88M","-0,13%"
"08.07.2025","46,19","46,60","46,75","46,02","18,69M","-0,84%"
"07.07.2025","46,58","46,82","46,93","46,45","20,10M","-0,51%"
"04.07.2025","46,82","46,95","46,96","46,74","8,88M","0,21%"
"03.07.2025","46,72","47,00","47,02","46,63","14,04M","0,00%"
"02.07.2025","46,72","47,08","47,08","46,64","18,69M","-0,76%"
"01.07.2025","47,08","47,01","47,25","47,01","21,17M","0,86%"
"30.06.2025","46,68","47,18","47,34","46,50","23,80M","-1,06%"
"27.06.2025","47,18","47,24","47,26","46,87","20,14M","-0,78%"
"26.06.2025","47,55","47,64","47,78","47,51","21,69M","0,25%"
"25.06.2025","47,43","47,54","47,80","47,39","17,39M","0,15%"
"24.06.2025","47,36","46,93","48,12","46,81","50,05M","-3,88%"
"23.06.2025","49,27","48,87","49,36","48,87","28,96M","0,82%"
"20.06.2025","48,87","48,68","48,95","48,52","22,92M","-0,39%"
"19.06.2025","49,06","48,98","49,15","48,80","17,90M","-0,28%"
"18.06.2025","49,20","49,13","49,50","49,00","26,15M","0,20%"
"17.06.2025","49,10","49,18","49,34","48,73","31,12M","-0,18%"
"16.06.2025","49,19","49,75","49,82","48,78","41,04M","-1,11%"
"13.06.2025","49,74","48,73","49,96","48,71","62,45M","4,25%"
"12.06.2025","47,71","47,80","47,89","47,20","46,12M","1,71%"
"11.06.2025","46,91","47,17","47,19","46,90","23,24M","-0,19%"
"10.06.2025","47,00","47,12","47,25","46,65","29,59M","-1,12%"
"05.06.2025","47,53","46,84","47,54","46,84","12,89M","1,49%"
"04.06.2025","46,83","46,38","46,96","46,35","23,39M","1,32%"
"03.06.2025","46,22","46,32","46,40","45,98","24,56M","-0,88%"
"02.06.2025","46,63","46,33","46,95","46,06","35,86M","2,26%"
"30.05.2025","45,60","45,50","45,72","45,26","17,74M","0,22%"
"29.05.2025","45,50","45,08","45,68","44,50","20,93M","0,78%"
"28.05.2025","45,15","46,30","46,66","44,60","44,96M","-2,12%"
"27.05.2025","46,13","46,21","46,38","45,91","23,92M","-1,03%"
"26.05.2025","46,61","46,97","46,97","46,00","27,09M","-1,08%"
"23.05.2025","47,12","46,70","47,40","46,45","43,57M","2,30%"
"22.05.2025","46,06","46,75","46,90","45,86","25,60M","-0,32%"
"21.05.2025","46,21","46,67","46,99","45,93","29,54M","1,12%"
"20.05.2025","45,70","44,81","45,96","44,81","34,75M","2,01%"
"16.05.2025","44,80","44,98","45,16","44,30","29,03M","-0,40%"
"15.05.2025","44,98","43,00","45,01","42,55","46,82M","3,64%"
"14.05.2025","43,40","44,67","44,67","43,30","31,53M","-3,06%"
"13.05.2025","44,77","44,89","45,49","44,57","26,94M","-0,27%"
"12.05.2025","44,89","45,01","45,38","44,89","34,01M","-4,99%"
